DAILY LOAD FORECAST 2018,,,,
MONTHS,DAYS,TEMPERATURE,HUMIDITY,HISTORIC LOAD (MW)
1,1,25.33,47.04,8.01
1,2,25.55,43.58,8.91
1,3,23.17,41.804,8.92
1,4,25.95,39.27,8.87
1,5,26.64,39.67,9.02
1,6,26.1,63.25,11.72
1,7,26.67,72.09,8.88
1,8,25.97,70.39,9.7
1,9,27.7,72.86,9.79
1,10,28.14,61.45,9.61
1,11,24.07,60.78,9.4
1,12,25.11,42.45,9.02
1,13,26.15,40.26,9.32
1,14,28.89,29.08,8.22
1,15,27.84,32.95,9.05
1,16,26.58,70.95,8.83
1,17,26.54,83.19,8.65
1,18,25.73,66.08,8.9
1,19,27.4,70.48,9.5
1,20,28.89,48.64,9.34
1,21,27.74,46.13,8.8
1,22,27.21,27.18,9.1
1,23,26.21,59.19,9.15
1,24,26.22,43.43,8.76
1,25,27.1,33.64,8.88
1,26,24.54,47.88,7.87
1,27,26.48,43.87,8.84
1,28,27.6,53.91,8.65
1,29,25.57,65.78,8.78
1,30,28.09,46.48,8.86
1,31,27.9,54.45,8.67
2,1,25.83,63.71,10.05
2,2,26.1,68.04,9.98
2,3,23.2,70.86,10.08
2,4,26.05,51.91,9.5
2,5,27.3,38.43,10.41
2,6,26.1,62.95,10.33
2,7,26.68,72.35,10.83
2,8,25.87,50.46,10.8
2,9,27.8,72.36,10.17
2,10,28.2,51.25,10.35
2,11,24.08,62.67,9.84
2,12,25.2,44.54,10.44
2,13,26.7,52.62,9.6
2,14,30.21,61.43,10.42
2,15,28,47.41,9.82
2,16,26.7,50.21,10.1
2,17,26.5,49.45,10.3
2,18,25.73,56.48,10.29
2,19,28.4,71.23,10.73
2,20,30.88,50.23,10.01
2,21,28.74,48.56,10.32
2,22,27.41,29.23,10.51
2,23,26.41,60.14,10.5
2,24,26.42,44.32,10.25
2,25,28.9,33.88,10.31
2,26,24.9,47.91,9.53
2,27,26.9,43.99,9.89
2,28,28.6,53.98,10.15
3,1,26.33,71.34,10.09
3,2,26.55,68.43,9.84
3,3,24.17,68.45,9.83
3,4,26.95,74.5,9.65
3,5,27.74,40.25,10.07
3,6,27.1,55.67,9.66
3,7,27.67,72.13,9.66
3,8,26.87,71.63,9.7
3,9,28.8,69.56,10.46
3,10,28.4,61.94,10.08
3,11,26,62.87,9.8
3,12,26.2,44.78,10.15
3,13,26.7,60.56,10.37
3,14,30.4,43.78,10.41
3,15,28.2,39.34,10.52
3,16,27.7,61.86,9.43
3,17,28,54.57,9.19
3,18,26.83,70.34,9.01
3,19,29,67.32,10.2
3,20,32.2,56.81,9.83
3,21,28.84,65.34,10.27
3,22,27.81,27.45,10.13
3,23,27.1,59.71,10.56
3,24,26.82,42.62,10.09
3,25,28.9,34.33,9.81
3,26,25,47.45,5.17
3,27,25,44.07,5.05
3,28,28,54.11,7.03
3,29,26.87,65.84,7.61
3,30,30.12,46.05,7.52
3,31,29.9,77.99,7.01
